Date,Sub Category,Plant,Vendor,Defect Type,Material Type,Defect,Downtime min,Defect Qty
12/4/2014 0:00,Logistics,"Davenport, IA",Reddoit,Impact,Corrugate,Too Stiff,60,1335
11/23/2014 0:00,Logistics,"Bangor, MI",Sanlab,Impact,Corrugate,Too Stiff,60,2225
12/4/2014 0:00,Goods & Services,"Monon, IN",Dentocity,Rejected,Film,Loose Core,0,10680
12/25/2014 0:00,Logistics,"Madison, WI",Plustax,Impact,Batteries,Damaged Secondary Packaging,18,6
12/18/2014 0:00,Logistics,"Bangor, MI",Vaiataxon,Impact,Raw Materials,Damaged Secondary Packaging,30,890
12/22/2014 0:00,Mechanicals,"Indianapolis, IN",Singleholdings,Rejected,Raw Materials,Damaged Secondary Packaging,0,23
12/21/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Defective Rims,180,13
12/4/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Defective Rims,5,3
12/24/2014 0:00,Mechanicals,"Skokie, IL",Sanin,Rejected,Batteries,Defective Rims,999,28035
12/21/2014 0:00,Logistics,Cincinnati OH,Sanin,Impact,Batteries,Defective Rims,180,1
12/21/2014 0:00,Logistics,Cincinnati OH,Sanin,Impact,Batteries,Defective Rims,270,13
12/9/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Batteries,Wrong Shade of Color,60,8
12/10/2014 0:00,Electrical,"Grand Rapids, MI",ontotam,No Impact,Carton,Wrong Shade of Color,0,890
12/15/2014 0:00,Materials & Components,"Chicago, IL",Ventocore,Impact,Electrolytes,Wrong Shade of Color,15,0
11/23/2014 0:00,Materials & Components,"Chicago, IL",Ventocore,No Impact,Electrolytes,Wrong Shade of Color,0,0
11/20/2014 0:00,Mechanicals,"Green Bay, WI",Recode,Impact,Carton,Wrong Shade of Color,54,534
12/4/2014 0:00,Mechanicals,"Indianapolis, IN",Fax-ex,No Impact,Raw Materials,Wrong Shade of Color,0,0
12/23/2014 0:00,Mechanicals,"Indianapolis, IN",xx-bam,Rejected,Raw Materials,Wrong Shade of Color,20,625
11/26/2014 0:00,Mechanicals,"Green Bay, WI",geofind,No Impact,Controllers,Wrong Shade of Color,0,1
12/7/2014 0:00,Mechanicals,"Indianapolis, IN",Vaiazoom,No Impact,Raw Materials,Wrong Shade of Color,0,18
11/25/2014 0:00,Packaging,"Northbrook, IL",Hexunobam,Rejected,Raw Materials,Wrong Shade of Color,0,49
12/11/2014 0:00,Logistics,Cincinnati OH,Plustax,Rejected,Batteries,Irregular Shape,0,5
12/9/2014 0:00,Logistics,Cincinnati OH,Sanin,Impact,Batteries,Irregular Shape,80,0
11/30/2014 0:00,Logistics,Cincinnati OH,Plustax,Impact,Controllers,Dimensions Wrong,60,16
12/29/2014 0:00,Materials & Components,"Chicago, IL",Ventocore,Rejected,Electrolytes,Incorrect Dimensions,0,14
12/4/2014 0:00,Logistics,"Bangor, MI",Sanlab,Rejected,Corrugate,Damaged in Transit,0,25
12/8/2014 0:00,Logistics,"Madison, WI",scotquote,Rejected,Corrugate,Damaged in Transit,0,26
12/22/2014 0:00,Packaging,"Detriot, MI",Conelane,Rejected,Raw Materials,Damaged in Transit,0,490
11/26/2014 0:00,Mechanicals,"Indianapolis, IN",Fax-ex,No Impact,Raw Materials,Out of Spec,0,374
12/28/2014 0:00,Logistics,"Bangor, MI",Vaiataxon,No Impact,Raw Materials,Out of Spec,0,890
12/17/2014 0:00,Mechanicals,"Toledo, OH",Singleholdings,Rejected,Raw Materials,Out of Spec,0,0
12/10/2014 0:00,Mechanicals,"Indianapolis, IN",Singleholdings,Rejected,Raw Materials,Out of Spec,0,45
11/24/2014 0:00,Mechanicals,"Lansing, MI",Solholdings,Impact,Film,Damaged Rolls,0,0
12/31/2014 0:00,Electrical,"Grand Rapids, MI",Reddoit,No Impact,Corrugate,Poor Pairing,0,490
12/29/2014 0:00,Materials & Components,"Chicago, IL",Reddoit,Impact,Corrugate,Poor Pairing,360,1202
12/21/2014 0:00,Logistics,"Davenport, IA",Reddoit,Rejected,Corrugate,Poor Pairing,0,143
12/16/2014 0:00,Logistics,"Davenport, IA",Reddoit,Impact,Corrugate,Poor Pairing,120,241
12/15/2014 0:00,Logistics,"Davenport, IA",Reddoit,Impact,Corrugate,Poor Pairing,90,214
12/23/2014 0:00,Packaging,"Detriot, MI",xx-way,Rejected,Corrugate,Poor Pairing,20,1691
11/30/2014 0:00,Packaging,"Northbrook, IL",xx-way,Impact,Corrugate,Poor Pairing,60,356
12/21/2014 0:00,Mechanicals,"Kalamazoo, MI",Damdexon,No Impact,Corrugate,Poor Pairing,0,0
11/26/2014 0:00,Packaging,"Rockford, IL",ontotam,Impact,Carton,Poor Pairing,30,7654
12/8/2014 0:00,Goods & Services,"Monon, IN",Sanlab,Rejected,Corrugate,Poor Pairing,28,89
12/25/2014 0:00,Logistics,"Madison, WI",scotquote,No Impact,Corrugate,Poor Pairing,0,178
12/10/2014 0:00,Logistics,"Madison, WI",scotquote,No Impact,Corrugate,Poor Pairing,0,374
12/10/2014 0:00,Logistics,"Madison, WI",scotquote,No Impact,Corrugate,Poor Pairing,0,445
12/9/2014 0:00,Logistics,"Bangor, MI",Quotelane,Impact,Labels,Split Seams,15,1780
12/30/2014 0:00,Logistics,Cincinnati OH,Reddoit,Impact,Corrugate,Wrong Fasteners,15,14
12/30/2014 0:00,Logistics,Cincinnati OH,Reddoit,Impact,Corrugate,Wrong Fasteners,60,45
12/4/2014 0:00,Logistics,"Davenport, IA",Reddoit,Impact,Corrugate,Wrong Fasteners,30,17
12/14/2014 0:00,Logistics,Cincinnati OH,Damdexon,Impact,Corrugate,Wrong Fasteners,22,67
11/25/2014 0:00,Logistics,Cincinnati OH,Damdexon,Impact,Corrugate,Wrong Fasteners,30,23
12/30/2014 0:00,Logistics,Cincinnati OH,Reddoit,Impact,Corrugate,Gaps,60,107
12/18/2014 0:00,Goods & Services,"Monon, IN",Sanlab,Rejected,Corrugate,Gaps,0,677
12/22/2014 0:00,Logistics,"Milwaukee, Wi",Reddoit,Impact,Corrugate,Incorrect Material,45,2
11/30/2014 0:00,Packaging,"Northbrook, IL",Planethouse,Rejected,Hardware,Incorrect Material,0,1691
12/8/2014 0:00,Mechanicals,"Indianapolis, IN",Quotelane,Rejected,Film,Creases / Wrinkles,0,1
11/24/2014 0:00,Mechanicals,"Skokie, IL",Solholdings,Impact,Film,Creases / Wrinkles,0,365612
12/22/2014 0:00,Logistics,"Milwaukee, Wi",Reddoit,Impact,Corrugate,No Shipment Info,30,20
12/11/2014 0:00,Logistics,"Bangor, MI",Quotelane,Impact,Labels,Splice,20,4895
12/21/2014 0:00,Logistics,"Davenport, IA",Reddoit,Rejected,Corrugate,Errors in Packaging,0,33
12/7/2014 0:00,Packaging,"Northbrook, IL",xx-way,Impact,Corrugate,Errors in Packaging,45,54
11/25/2014 0:00,Logistics,"Bangor, MI",Sanlab,Impact,Corrugate,Errors in Packaging,60,9
12/2/2014 0:00,Packaging,"Joliet, IL",Reddoit,Rejected,Corrugate,Cracked,120,1602
12/29/2014 0:00,Goods & Services,"Monon, IN",bamity,Rejected,Raw Materials,Wrong Labeling,0,1211
12/31/2014 0:00,Goods & Services,"Monon, IN",Howtaxon,Rejected,Raw Materials,Wrong Labeling,0,1562
12/29/2014 0:00,Materials & Components,"Chicago, IL",Quotelane,No Impact,Labels,Wrong Label,0,890
12/29/2014 0:00,Materials & Components,"Chicago, IL",Quotelane,No Impact,Labels,Wrong Label,0,1780
12/29/2014 0:00,Materials & Components,"Chicago, IL",Quotelane,No Impact,Labels,Wrong Label,0,4450
12/29/2014 0:00,Materials & Components,"Chicago, IL",Quotelane,No Impact,Labels,Wrong Label,0,8010
12/15/2014 0:00,Materials & Components,"Chicago, IL",Quotelane,Impact,Labels,Wrong Label,10,0
11/23/2014 0:00,Materials & Components,"Chicago, IL",Quotelane,No Impact,Labels,Wrong Label,0,0
12/10/2014 0:00,Materials & Components,"Chicago, IL",bamity,Rejected,Raw Materials,Foreign Material,0,3112
12/21/2014 0:00,Mechanicals,"Indianapolis, IN",K-is,Impact,Raw Materials,Foreign Material,33,23
12/21/2014 0:00,Mechanicals,"Indianapolis, IN",K-is,No Impact,Raw Materials,Foreign Material,0,25632
12/14/2014 0:00,Mechanicals,"Indianapolis, IN",K-is,No Impact,Raw Materials,Foreign Material,0,25632
12/3/2014 0:00,Logistics,"Davenport, IA",Solholdings,No Impact,Film,Foreign Material,0,0
11/19/2014 0:00,Logistics,"Milwaukee, Wi",Tamcan,No Impact,Electrolytes,Foreign Material,0,0
12/14/2014 0:00,Mechanicals,"Indianapolis, IN",xx-bam,Rejected,Raw Materials,Foreign Material,0,445
12/7/2014 0:00,Mechanicals,"Indianapolis, IN",xx-bam,No Impact,Raw Materials,Foreign Material,0,22428
12/2/2014 0:00,Mechanicals,"Indianapolis, IN",xx-bam,No Impact,Raw Materials,Foreign Material,0,23
12/3/2014 0:00,Mechanicals,"Green Bay, WI",Zaamhouse,Impact,Raw Materials,Foreign Material,220,29904
12/3/2014 0:00,Mechanicals,"Green Bay, WI",Mathing,Impact,Raw Materials,Foreign Material,200,2937
12/29/2014 0:00,Mechanicals,"Green Bay, WI",Singleholdings,Impact,Raw Materials,Foreign Material,300,8010
12/24/2014 0:00,Mechanicals,"Toledo, OH",Singleholdings,No Impact,Raw Materials,Foreign Material,0,18423
12/3/2014 0:00,Mechanicals,"Lansing, MI",Singleholdings,No Impact,Raw Materials,Foreign Material,0,0
12/18/2014 0:00,Mechanicals,"Green Bay, WI",Daltfax,Impact,Raw Materials,Foreign Material,120,14908
12/4/2014 0:00,Mechanicals,"Indianapolis, IN",Vaiazoom,Rejected,Raw Materials,Foreign Material,0,18
12/30/2014 0:00,Mechanicals,"Skokie, IL",Condintex,Rejected,Raw Materials,Foreign Material,0,14205
12/17/2014 0:00,Mechanicals,"Indianapolis, IN",Condintex,Rejected,Raw Materials,Foreign Material,0,29
12/9/2014 0:00,Materials & Components,"Chicago, IL",Treedrill,No Impact,Raw Materials,Foreign Material,0,9192
11/23/2014 0:00,Logistics,"Bangor, MI",Quotelane,Impact,Labels,Wrong Registration,45,5518
12/14/2014 0:00,Logistics,"Milwaukee, Wi",Zunice,Rejected,Film,Wrong Registration,0,1113
12/14/2014 0:00,Logistics,"Milwaukee, Wi",Zunice,Rejected,Film,Wrong Registration,0,17800
11/30/2014 0:00,Goods & Services,"Monon, IN",ontotam,Rejected,Carton,Cartons Not Opening,70,12015
12/15/2014 0:00,Logistics,"Bangor, MI",Quotelane,Impact,Labels,No Crank,20,2
12/11/2014 0:00,Logistics,"Bangor, MI",Quotelane,Impact,Labels,No Crank,5,1
12/7/2014 0:00,Logistics,"Bangor, MI",Quotelane,Impact,Labels,No Crank,10,89
12/15/2014 0:00,Materials & Components,"Chicago, IL",Quotelane,No Impact,Labels,Bad Labels,0,0
12/1/2014 0:00,Mechanicals,"Indianapolis, IN",Quotelane,Rejected,Film,No Varnish,20,2
12/10/2014 0:00,Mechanicals,"Indianapolis, IN",O-job,No Impact,Raw Materials,Not Certified,0,25632
12/7/2014 0:00,Mechanicals,"Indianapolis, IN",O-job,No Impact,Raw Materials,Not Certified,0,25632
11/27/2014 0:00,Mechanicals,"Indianapolis, IN",O-job,No Impact,Raw Materials,Not Certified,0,25632
11/25/2014 0:00,Mechanicals,"Indianapolis, IN",Howtaxon,No Impact,Raw Materials,Not Certified,0,17578
11/20/2014 0:00,Mechanicals,"Toledo, OH",Howtaxon,No Impact,Raw Materials,Not Certified,0,37825
11/28/2014 0:00,Mechanicals,"Indianapolis, IN",K-is,No Impact,Raw Materials,Not Certified,0,3983
12/21/2014 0:00,Mechanicals,"Toledo, OH",Villacom,No Impact,Raw Materials,Not Certified,0,0
11/26/2014 0:00,Mechanicals,"Skokie, IL",zotit,No Impact,Raw Materials,Not Certified,0,0
11/23/2014 0:00,Mechanicals,"Indianapolis, IN",zotit,No Impact,Raw Materials,Not Certified,0,981
12/17/2014 0:00,Mechanicals,"Indianapolis, IN",Lazap,No Impact,Raw Materials,Not Certified,0,2208
11/26/2014 0:00,Mechanicals,"Indianapolis, IN",Dingity,No Impact,Raw Materials,Not Certified,0,10235
12/8/2014 0:00,Mechanicals,"Indianapolis, IN",Fax-ex,No Impact,Raw Materials,Not Certified,0,2670
12/8/2014 0:00,Mechanicals,"Indianapolis, IN",Fax-ex,No Impact,Raw Materials,Not Certified,0,23496
12/7/2014 0:00,Mechanicals,"Indianapolis, IN",Fax-ex,No Impact,Raw Materials,Not Certified,0,5340
12/7/2014 0:00,Mechanicals,"Indianapolis, IN",Fax-ex,No Impact,Raw Materials,Not Certified,0,8010
11/23/2014 0:00,Mechanicals,"Indianapolis, IN",Mathing,No Impact,Raw Materials,Not Certified,0,3204
12/4/2014 0:00,Mechanicals,"Indianapolis, IN",Singleholdings,No Impact,Raw Materials,Not Certified,0,9345
12/8/2014 0:00,Mechanicals,"Indianapolis, IN",Daltfax,No Impact,Raw Materials,Not Certified,0,8010
11/23/2014 0:00,Mechanicals,"Indianapolis, IN",Daltfax,No Impact,Raw Materials,Not Certified,0,2937
12/20/2014 0:00,Mechanicals,"Indianapolis, IN",Kincorporation,No Impact,Raw Materials,Not Certified,0,6230
11/23/2014 0:00,Mechanicals,"Indianapolis, IN",Kincorporation,No Impact,Raw Materials,Not Certified,0,8900
12/31/2014 0:00,Mechanicals,"Toledo, OH",nimlab,No Impact,Raw Materials,Not Certified,0,0
12/7/2014 0:00,Mechanicals,"Skokie, IL",J-lax,No Impact,Raw Materials,Not Certified,0,0
11/19/2014 0:00,Materials & Components,"Chicago, IL",Xx-canex,No Impact,Raw Materials,Not Certified,0,7254
12/31/2014 0:00,Mechanicals,"Elgin, IL",Duo-fase,No Impact,Raw Materials,Not Certified,0,14418
12/11/2014 0:00,Mechanicals,"Indianapolis, IN",Dripvivadex,No Impact,Raw Materials,Not Certified,0,54
11/23/2014 0:00,Mechanicals,"Indianapolis, IN",Fasetech,No Impact,Raw Materials,Not Certified,0,5785
11/19/2014 0:00,Goods & Services,"Monon, IN",Dingquokix,No Impact,Raw Materials,Not Certified,0,0
12/14/2014 0:00,Logistics,"Milwaukee, Wi",Zunice,Rejected,Film,No Print,0,17800
12/14/2014 0:00,Packaging,"Detriot, MI",Yearlex,Rejected,Labels,Wrong Ink,45,4450
12/14/2014 0:00,Logistics,"Milwaukee, Wi",Zunice,Rejected,Film,Wrong Ink,0,20203
12/23/2014 0:00,Mechanicals,"Indianapolis, IN",O-job,No Impact,Raw Materials,Matts,0,45
12/16/2014 0:00,Mechanicals,"Indianapolis, IN",O-job,No Impact,Raw Materials,Matts,0,300
12/2/2014 0:00,Mechanicals,"Indianapolis, IN",O-job,Rejected,Raw Materials,Matts,0,0
12/22/2014 0:00,Mechanicals,"Indianapolis, IN",xx-bam,Impact,Raw Materials,Matts,307,11125
12/7/2014 0:00,Mechanicals,"Indianapolis, IN",xx-bam,No Impact,Raw Materials,Matts,0,22428
12/30/2014 0:00,Logistics,Cincinnati OH,Sanin,Impact,Controllers,Wrong Tails,240,2
12/31/2014 0:00,Electrical,"Grand Rapids, MI",ontotam,Impact,Carton,Printing Defects,218,20009
12/31/2014 0:00,Electrical,"Grand Rapids, MI",ontotam,Rejected,Carton,Printing Defects,0,445
12/31/2014 0:00,Electrical,"Grand Rapids, MI",ontotam,Rejected,Carton,Printing Defects,0,6692
11/26/2014 0:00,Electrical,"Grand Rapids, MI",ontotam,Rejected,Carton,Printing Defects,0,225
11/26/2014 0:00,Electrical,"Grand Rapids, MI",ontotam,No Impact,Carton,Printing Defects,0,6451
12/29/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Impact,Film,Expired,10,7103
12/16/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Impact,Film,Failed Tension Test,22,5042
12/16/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Impact,Film,Failed Tension Test,40,5140
12/16/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,No Impact,Film,Failed Tension Test,0,2617
12/16/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,No Impact,Film,Failed Tension Test,0,2991
12/16/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Rejected,Film,Failed Tension Test,0,5429
11/30/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Rejected,Film,Failed Tension Test,0,7090
12/8/2014 0:00,Logistics,"Madison, WI",Solholdings,Rejected,Film,Failed Tension Test,0,983
11/30/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Rejected,Film,Wrong Makeup,25,1215
11/30/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Rejected,Film,Wrong Makeup,10,7103
11/30/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Rejected,Film,Wrong Makeup,10,9532
11/30/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Rejected,Film,Wrong Makeup,0,1335
11/30/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Rejected,Film,Wrong Makeup,0,1869
11/30/2014 0:00,Materials & Components,"Chicago, IL",Dentocity,Rejected,Film,Wrong Makeup,0,3560
12/15/2014 0:00,Materials & Components,"Chicago, IL",Ventocore,Rejected,Electrolytes,Crushed Sidewalls,0,136
11/23/2014 0:00,Materials & Components,"Chicago, IL",Ventocore,No Impact,Electrolytes,Dents,0,0
12/29/2014 0:00,Logistics,"Dayton, OH",Solholdings,Rejected,Molds,Dents,101,0
12/2/2014 0:00,Logistics,"Madison, WI",zotit,Rejected,Raw Materials,Holes,0,356
12/22/2014 0:00,Mechanicals,"Indianapolis, IN",Singleholdings,Impact,Raw Materials,Holes,0,9345
12/1/2014 0:00,Logistics,"Bangor, MI",tampquote,Rejected,Molds,Wrong Parts,0,1
12/3/2014 0:00,Mechanicals,"Indianapolis, IN",Subdrill,No Impact,Carton,Dirty,0,890
12/24/2014 0:00,Packaging,"Detriot, MI",Ganjazone,Rejected,Electrolytes,Split hinges,60,113030
12/29/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,Impact,Glass,No Close,0,0
12/15/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,Rejected,Glass,No Close,20,63910
12/15/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,No Impact,Glass,No Close,0,0
11/30/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,Impact,Glass,No Close,30,0
11/30/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,Impact,Glass,No Close,0,0
11/30/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,No Impact,Glass,No Close,0,0
12/15/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,Impact,Glass,Packaging Damaged,30,0
11/30/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,Impact,Glass,Packaging Damaged,2,0
11/30/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,Impact,Glass,Packaging Damaged,0,0
11/30/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,No Impact,Glass,Packaging Damaged,0,0
11/23/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,No Impact,Glass,Packaging Damaged,0,0
12/22/2014 0:00,Packaging,"Northbrook, IL",Planethouse,Rejected,Hardware,Leaking Seals,120,336509
11/30/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,No Impact,Glass,Tampered,0,0
11/23/2014 0:00,Materials & Components,"Chicago, IL",Trio-dax,No Impact,Glass,Tampered,0,0
12/18/2014 0:00,Packaging,"Northbrook, IL",Yearlex,Impact,Labels,Missing Labels,45,11036
12/22/2014 0:00,Mechanicals,"Kalamazoo, MI",Dongbiolex,No Impact,Labels,Missing Labels,0,175
11/23/2014 0:00,Materials & Components,"Chicago, IL",Ventocore,Impact,Electrolytes,Deformed Parts,21,0
12/31/2014 0:00,Logistics,"Bangor, MI",Zuntexon,Impact,Electrolytes,Deformed Parts,10,9
12/3/2014 0:00,Logistics,"Bangor, MI",Vaiataxon,No Impact,Raw Materials,Integrity Failure,0,20470
11/30/2014 0:00,Packaging,"Detriot, MI",Unoex,Impact,Raw Materials,Integrity Failure,0,40050
12/4/2014 0:00,Materials & Components,"Chicago, IL",roundphase,No Impact,Raw Materials,Integrity Failure,0,42542
11/30/2014 0:00,Materials & Components,"Chicago, IL",roundphase,No Impact,Raw Materials,Integrity Failure,0,34710
12/22/2014 0:00,Goods & Services,"Monon, IN",Ronvivalam,Rejected,Raw Materials,Integrity Failure,0,101
12/15/2014 0:00,Materials & Components,"Chicago, IL",Ventocore,Impact,Electrolytes,Weak Bands,28,0
12/9/2014 0:00,Mechanicals,"Skokie, IL",Fax-ex,Rejected,Raw Materials,Contamination,0,40050
11/25/2014 0:00,Mechanicals,"Gary, IN",Recode,Rejected,Carton,Wrong Cut,0,8900
11/20/2014 0:00,Mechanicals,"Skokie, IL",Recode,Impact,Carton,Wrong Cut,60,4450
12/10/2014 0:00,Logistics,"Davenport, IA",Stimmedia,Impact,Raw Materials,Out of Support,120,0
12/24/2014 0:00,Packaging,"Northbrook, IL",nimlab,Rejected,Raw Materials,Out of Support,0,0
